# Client names that misspell a much more common one; built by week04_names_check.py --build-merges. Delete a row to undo a merge.
variant,target,variant_filings,target_filings,score
CONSOLIDATED EDISION,CONSOLIDATED EDISON,1,87,97.4
INSURANC AUTO AUCTIONS,INSURANCE AUTO AUCTIONS,1,87,97.8
INSURANCRE AUTO ACTIONS,INSURANCE AUTO AUCTIONS,1,87,95.7
NATIONAL CANCERT INSTITUTE,NATIONAL CANCER INSTITUTE,1,87,98.0
NATION CANCER INSTITUTE,NATIONAL CANCER INSTITUTE,1,87,95.8
UNITED SERVICES AUTOMOBILE ASSOCIATIO,UNITED SERVICE AUTOMOBILE ASSOCIATION,1,87,97.3
UNITED SERVICES AUTOMOBILE ASSOCIATON,UNITED SERVICE AUTOMOBILE ASSOCIATION,1,87,97.3
UNITED SERVICES AUTOMOBILE ASSOSIATION,UNITED SERVICE AUTOMOBILE ASSOCIATION,1,87,96.0
SOUTHERN GLAZERS WINES AND SPIRITS,SOUTHERN GLAZER S WINE AND SPIRITS,5,86,97.1
SOUTHERN GLAZER S WINES AND SPIRITS,SOUTHERN GLAZER S WINE AND SPIRITS,4,86,98.6
SOUTHERN GLAZER S WINE AND SPIRITS LL,SOUTHERN GLAZER S WINE AND SPIRITS,4,86,95.8
SOUTHERN GLAZER S WINE AND SPIRIT,SOUTHERN GLAZER S WINE AND SPIRITS,2,86,98.5
SOUTHERN GLAZER WINE AND SPIRITS,SOUTHERN GLAZER S WINE AND SPIRITS,2,86,97.0
SOUTHERN GLAZERS WINES AND SPIRIT,SOUTHERN GLAZER S WINE AND SPIRITS,2,86,95.5
SOUTHREN GLAZER S WINES AND SPIRITS,SOUTHERN GLAZER S WINE AND SPIRITS,1,86,95.7
BLUECROSS BLUESHIELD ASSOCIATION,BLUE CROSS BLUE SHIELD ASSOCIATION,13,85,97.0
FREEDOM MORTAGE,FREEDOM MORTGAGE,1,85,96.8
BLUE CROSS BLUE SHIELD ASSOCIATIONS,BLUE CROSS BLUE SHIELD ASSOCIATION,1,85,98.6
BLUE CROSS BLUESHIELD ASSOCIATION,BLUE CROSS BLUE SHIELD ASSOCIATION,1,85,98.5
BLUE CROSS BLUE SHEILD ASSOCIATION,BLUE CROSS BLUE SHIELD ASSOCIATION,1,85,97.1
MOTIVA ENTERPRISE,MOTIVA ENTERPRISES,1,85,97.1
STANLEY BLACK AND DECKERS,STANLEY BLACK AND DECKER,1,84,98.0
HORIZON HEEALTHCARE SERVICES,HORIZON HEALTHCARE SERVICES,1,84,98.2
