# Client names that misspell a much more common one; built by week04_names_check.py --build-merges. Delete a row to undo a merge.
variant,target,variant_filings,target_filings,score
WEATHER FORD INTERNATIONAL,WEATHERFORD INTERNATIONAL,1,27,98.0
GEORGIA DEPARTMNET OF CORRECTIONS,GEORGIA DEPARTMENT OF CORRECTIONS,1,27,97.0
COUNTY OF SAN BERNADINO,COUNTY OF SAN BERNARDINO,1,27,97.9
LAKE SHORE LEARNING MATERIALS,LAKESHORE LEARNING MATERIALS,1,27,98.2
FLORIDA CANCER SPECIALIST AND RESEARCH INSTUTUTE,FLORIDA CANCER SPECIALIST AND RESEARCH INSTITUTE,1,27,97.9
FLORIDA CANCER SPECIALIST RESEARCH INSTITUTE,FLORIDA CANCER SPECIALIST AND RESEARCH INSTITUTE,1,27,95.7
AMERICAN WATERS,AMERICAN WATER,4,26,96.6
GORDON FOOD SERVICES,GORDON FOOD SERVICE,4,26,97.4
BLUE CROSS BLUE SHIELD OF FLORIDA INC BCBSFL,BLUE CROSS BLUE SHIELD OF FLORIDA BCBSFL,3,26,95.2
STATE OF OHIO DEPARTMENT OF ADMINISTRATION SERVICES,STATE OF OHIO DEPARTMENT OF ADMINISTRATIVE SERVICES,3,26,96.1
RETAI LFINANCE INTERNATIONAL,RETAIL FINANCE INTERNATIONAL,2,26,96.4
STATE OF OHIO DEPARTMENT OF ADMINISTRATIVE SERVICE,STATE OF OHIO DEPARTMENT OF ADMINISTRATIVE SERVICES,2,26,99.0
ILLINOIS DEPARTMENT OF INNOVATION AND TECHNOLOGY DOIT,ILLINOIS DEPARTMENT OF INNOVATION AND TECHNOLOGY,2,26,95.0
KENVUE JOHNSON AND JOHNSON CONSUMER SERVICES,KENVUE INC JOHNSON AND JOHNSON CONSUMER SERVICES,2,26,95.7
PEACEHEATH SOUTHWEST MEDICAL CENTER,PEACEHEALTH SOUTHWEST MEDICAL CENTER,1,26,98.6
BLUE CROSS AND BLUE SHIELD OF FLORIDA BCBSFL,BLUE CROSS BLUE SHIELD OF FLORIDA BCBSFL,1,26,95.2
ALLLISON TRANSMISSION,ALLISON TRANSMISSION,1,26,97.6
ALLISON TRANSMISSIONS,ALLISON TRANSMISSION,1,26,97.6
GORDON FOODS SERVICES,GORDON FOOD SERVICE,1,26,95.0
STATE OF OHIO DEPARTMENT OF ADMINISTRATIVE SERVICES DAS,STATE OF OHIO DEPARTMENT OF ADMINISTRATIVE SERVICES,1,26,96.2
GUIDE WELL SOURCE,GUIDEWELL SOURCE,1,26,97.0
NEW YORK STATE DEPARTMENT OFTAXATION AND FINANCE,NEW YORK STATE DEPARTMENT OF TAXATION AND FINANCE,1,26,99.0
ONTO INNOVATIONS,ONTO INNOVATION,1,26,96.8
ILLINOIS DEPARTMENT OF INNOVATON AND TECHNOLOGY,ILLINOIS DEPARTMENT OF INNOVATION AND TECHNOLOGY,1,26,98.9
SUNWARE ASSOIATES,SUNWARE ASSOCIATES,1,26,97.1
PROCEPT BIO ROBOTICS,PROCEPT BIOROBOTICS,5,25,97.4
FEDERAL HOME LOAN BANK ATLANTA,FEDERAL HOME LOAN BANK OF ATLANTA,5,25,95.2
METRO HEALTH MEDICAL CENTER,METROHEALTH MEDICAL CENTER,3,25,98.1
RE INSURANCE GROUP OF AMERICA,REINSURANCE GROUP OF AMERICA,2,25,98.2
PAPAJOHN S INTERNATIONAL,PAPA JOHN S INTERNATIONAL,2,25,98.0
NJ OFFICE OF INFORMATION TECHNOLOGY,NYS OFFICE OF INFORMATION TECHNOLOGY,2,25,95.8
PRINCIPLE LIFE INSURANCE,PRINCIPAL LIFE INSURANCE,1,25,95.8
PAPAJOHNS INTERNATIONAL,PAPA JOHN S INTERNATIONAL,1,25,95.8
FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIEMAE,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,1,25,98.9
FEDERAL NATIONAL MORTAGE ASSOCIATION FANNIE MAE,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,1,25,98.9
APTIV SERVICE,APTIV SERVICES,1,25,96.3
BOEING EMPLOYEE S CREDIT UNION,BOEING EMPLOYEES CREDIT UNION,1,25,98.3
GENERAC POWER SYSTEM,GENERAC POWER SYSTEMS,1,25,97.6
WEST PHAMACEUTICALS SERVICES,WEST PHARMACEUTICAL SERVICES,1,25,96.4
MISSISSIPPI DEPARTMENT OF HUMAN SERVICE,MISSISSIPPI DEPARTMENT OF HUMAN SERVICES,1,25,98.7
FIDELILTY MANAGEMENT AND RESEARCH,FIDELITY MANAGEMENT AND RESEARCH,1,25,98.5
FIDELITY MANAGEMENT AND RESERACH,FIDELITY MANAGEMENT AND RESEARCH,1,25,96.9
ROCH SEQUENCING SOLUTIONS,ROCHE SEQUENCING SOLUTIONS,1,25,98.0
ROCHE SEQUENCING SOLUTION,ROCHE SEQUENCING SOLUTIONS,1,25,98.0
BREAD FINANCIALS,BREAD FINANCIAL,1,25,96.8
FEDRAL HOME LOAN BANK OF ATLANTA,FEDERAL HOME LOAN BANK OF ATLANTA,1,25,98.5
CAPGEMINI AMERICAS,CAPGEMINI AMERICA,1,25,97.1
PIN WHEEL SOLUTIONS,PINWHEEL SOLUTIONS,1,25,97.3
SAIL SOFTWARE SOLUTIONS,SAILS SOFTWARE SOLUTIONS,1,25,97.9
WINDMIND HEALTH ADDICTION GERIATRIC AND PALLIATIVE MEDICINE,WINMIND HEALTH ADDICTION GERIATRIC AND PALLIATIVE MEDICINE,1,25,99.1
WINMIND HEALTH ADDICTION GERIARTRIC AND PALLIATIVE MEDICINE,WINMIND HEALTH ADDICTION GERIATRIC AND PALLIATIVE MEDICINE,1,25,99.1
WINMIND HEALTH ADDICTION GERIATIC AND PALLIATIVE MEDICINE,WINMIND HEALTH ADDICTION GERIATRIC AND PALLIATIVE MEDICINE,1,25,99.1
WINMIND HEALTH ADDICTIN GERIATRIC AND PALLIATIVE MEDICINE,WINMIND HEALTH ADDICTION GERIATRIC AND PALLIATIVE MEDICINE,1,25,99.1
FINANCIAL INDUSTRY REGULATORY AUTHORITY S FINRA,FINANCIAL INDUSTRY REGULATORY AUTHORITY FINRA,4,24,97.8
CENTER FOR MEDICARE AND MEDICAID SERVICES,CENTERS FOR MEDICARE AND MEDICAID SERVICES,4,24,98.8
CLOUDEND PLATFORMS,CLOUDEND PLATFORM,4,24,97.1
PROVIDENCE ST MARY S MEDICAL CENTER,PROVIDENCE ST MARY MEDICAL CENTER,4,24,97.1
E470 PUBLIC HIGHWAY AUTHORITY,E 470 PUBLIC HIGHWAY AUTHORITY,4,24,98.3
CENTER OF MEDICARE AND MEDICAID SERVICES,CENTERS FOR MEDICARE AND MEDICAID SERVICES,3,24,95.1
MEDICA HEALTH PLAN,MEDICA HEALTH PLANS,3,24,97.3
AMG SPECIALTY HOSPITAL,PAM SPECIALTY HOSPITAL,3,24,95.5
RESTAURANTS BRAND INTERNATIONAL,RESTAURANT BRANDS INTERNATIONAL,2,24,96.8
COMMONWEALTH OF MASSACHUSETTS EHS,COMMONWEALTH OF MASSACHUSETTS EOHHS,2,24,97.1
TX HIGHER EDUCATION COORDINATING BOARD,TEXAS HIGHER EDUCATION COORDINATING BOARD,2,24,96.2
ADVENT HEALTH PALM COAST,ADVENTHEALTH PALM COAST,2,24,97.9
INFINITE COMPUTER SOLUTION,INFINITE COMPUTER SOLUTIONS,1,24,98.1
EXPRESS SCIPTS HOLDING,EXPRESS SCRIPTS HOLDING,1,24,97.8
TOYOTA MOTOR S,TOYOTA MOTORS,1,24,96.3
IDAHO TRANSPORTATION DEPATMENT,IDAHO TRANSPORTATION DEPARTMENT,1,24,98.4
COMMON WEALTH OF MASSACHUSETTS EOHHS,COMMONWEALTH OF MASSACHUSETTS EOHHS,1,24,98.6
SEMICONDUCTOR COMPONENT INDUSTRIES,SEMICONDUCTOR COMPONENTS INDUSTRIES,1,24,98.6
BREAKTHRU BEVERAGE MISSOURI FORMERLY MAJORS BRANDS,BREAKTHRU BEVERAGE MISSOURI FORMERLY MAJOR BRANDS,1,24,99.0
OCHSNER LSU HEALTH ST MARY S,OCHSNER LSU HEALTH ST MARY,4,23,96.3
SONY INTERCATIVE ENTERTAINMENT,SONY INTERACTIVE ENTERTAINMENT,3,23,96.7
CRUM AND FOSTER,CRUM AND FORSTER,3,23,96.8
HEALTH AND HUMAN SERVICE COMMISION,HEALTH AND HUMAN SERVICES COMMISSION,2,23,97.1
QBE NORTH AMERICAS,QBE NORTH AMERICA,2,23,97.1
FISHER INVESTMENT,FISHER INVESTMENTS,2,23,97.1
DOOSANBOBCAT,DOOSAN BOBCAT,2,23,96.0
TRUESTAGE FINANCIAL,TRUSTAGE FINANCIAL,2,23,97.3
HEALTH AND HUMAN SERVICES COMISSION,HEALTH AND HUMAN SERVICES COMMISSION,1,23,98.6
HEALTH AND HUNAN SERVICES COMMISSION,HEALTH AND HUMAN SERVICES COMMISSION,1,23,97.2
HELATH AND HUMAN SERVICES COMMISSION,HEALTH AND HUMAN SERVICES COMMISSION,1,23,97.2
CABLE AND WIRELESS COMMUNICATION,CABLE AND WIRELESS COMMUNICATIONS,1,23,98.5
LOGAN ALUMINIUM,LOGAN ALUMINUM,1,23,96.6
STATE OF WISCONSIN DEPARTMENT OF WORK FORCE DEVELOPMENT,STATE OF WISCONSIN DEPARTMENT OF WORKFORCE DEVELOPMENT,1,23,99.1
STATE OF WISCONSIN DWD DEPARTMENT OF WORKFORCE DEVELOPMENT,STATE OF WISCONSIN DEPARTMENT OF WORKFORCE DEVELOPMENT,1,23,96.4
INVESCO GROUP SERVICE,INVESCO GROUP SERVICES,1,23,97.7
FCCI SERVICE,FCCI SERVICES,1,23,96.0
OSCHNER LAFAYETTE GENERAL MEDICAL CENTER,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,1,23,97.5
GEORGIA DEPARTMENT OF HUMAN SERVICE,GEORGIA DEPARTMENT OF HUMAN SERVICES,1,23,98.6
AMERICAN TIRE DISTRIBUTOR ATD,AMERICAN TIRE DISTRIBUTORS ATD,1,23,98.3
VERDE SIAN LIFE SCIENCES,VERDESIAN LIFE SCIENCES,1,23,97.9
STATE OF DELWARE,STATE OF DELAWARE,1,23,97.0
BUCKEYE PARTNER,BUCKEYE PARTNERS,1,23,96.8
CALIFORNIA STATE TEACHER S RETIREMENT SYSTEM CALSTRS,CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM CALSTRS,1,23,99.0
CALIFORNIA STATE TEACHERS RETIREREMENT SYSTEMS CALSTRS,CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM CALSTRS,1,23,97.1
HARVARD PILGRIM HEALTHCARE,HARVARD PILGRIM HEALTH CARE,4,22,98.1
JOHNSTON MEMORIAL HOSPITAL,JOHNSON MEMORIAL HOSPITAL,4,22,98.0
INFORMATIC COMPUTER SOLUTIONS,INFORMATIC COMPUTER SOLUTION,4,22,98.2
GENERAL MOTORS FINANCIALS,GENERAL MOTORS FINANCIAL,3,22,98.0
HOWARD COUNTY PUBLIC SCHOOL SYSTEMS,HOWARD COUNTY PUBLIC SCHOOL SYSTEM,2,22,98.6
ARIZONA DEPARTMENT OF ENVIRONMENT QUALITY,ARIZONA DEPARTMENT OF ENVIRONMENTAL QUALITY,2,22,97.6
PRIMARY CHILDRENS HOSPITAL,PRIMARY CHILDREN S HOSPITAL,2,22,98.1
L3 HARRIS TECHNOLOGIES,L3HARRIS TECHNOLOGIES,2,22,97.7
VEECO INSTRUMENT,VEECO INSTRUMENTS,2,22,97.0
RAYMOND JAMES FIANCIAL,RAYMOND JAMES FINANCIAL,2,22,97.8
STARTECH NETWORK,STARTECH NETWORKS,2,22,97.0
PORT AUTHORITY NEW YORK AND NEW JERSEY,PORT AUTHORITY OF NEW YORK AND NEW JERSEY,1,22,96.2
BALTIMORE CITY PUBLIC SCHOOL,BALTIMORE CITY PUBLIC SCHOOLS,1,22,98.2
SOUTH JERSEY INDUSTRTIES,SOUTH JERSEY INDUSTRIES,1,22,97.9
KAISER PERMANANATE,KAISER PERMANANTE,1,22,97.1
KAISER PERMANATE,KAISER PERMANANTE,1,22,97.0
SELECT SPECIALTY HOSPITALS,SELECT SPECIALTY HOSPITAL,1,22,98.0
HARVARDPILGRIM HEALTHCARE,HARVARD PILGRIM HEALTH CARE,1,22,96.2
STELLANTIS FORMERLY FIAT CHRYSLER FCA AUTOMOBILES,STELLANTIS FORMERLY FIAT CHRYSLER AUTOMOBILES,1,22,95.7
TESTING XPERTS,TESTINGXPERTS,1,22,96.3
FOR TIAA TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,TIAA TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,1,22,96.7
TIAA TEACHERS INSURANCE ANNUITY ASSOCIATION OF AMERICA,TIAA TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,1,22,96.4
GENESYS AERO SYSTEMS,GENESYS AEROSYSTEMS,1,22,97.4
GENESYSAEROSYSTEMS,GENESYS AEROSYSTEMS,1,22,97.3
NOTHERN NATURAL GAS,NORTHERN NATURAL GAS,1,22,97.4
JBR INFOTECH,JBR INFO TECH,1,22,96.0
GEORGE WASHIHNGTON UNIVERSITY HOSPITAL,GEORGE WASHINGTON UNIVERSITY HOSPITAL,1,22,98.7
NY DEPARTMENT OF HEALTH,NYS DEPARTMENT OF HEALTH,1,22,97.9
RAYMOND JAMES FINANCIALS,RAYMOND JAMES FINANCIAL,1,22,97.9
STAR TECH NETWORKS,STARTECH NETWORKS,1,22,97.1
NEWYORK STATE DEPARTMENT OF FINANCIAL SERVICES,NEW YORK STATE DEPARTMENT OF FINANCIAL SERVICES,1,22,98.9
THERADYNAMICS PHYSICAL AND OCCUPATIONAL THERAPY PC,THERADYNAMICS PHYSICAL AND OCCUPATIONAL THERAPY,1,22,96.9
PANASONIC AUTOMOTIVE SYSTEMS CO OF AMERICA,PANASONIC AUTOMOTIVE SYSTEMS OF AMERICA,4,21,96.3
PANASONIC AUTOMOTIVE SYSTEMS AMERICA,PANASONIC AUTOMOTIVE SYSTEMS OF AMERICA,3,21,96.0
UNDERWRITER LABORATORIES,UNDERWRITERS LABORATORIES,3,21,98.0
OPTUM INC A WHOLLY OWNED SUBSIDIARY OF UNITED HEALTH,OPTUM INC A WHOLLY OWNED SUBSIDIARY OF UNITEDHEALTH,3,21,99.0
NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES NYSITS,NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES ITS,3,21,97.6
SMBC MANU BANK,SMBC MANUBANK,3,21,96.3
EVEREST RE INSURANCE,EVEREST REINSURANCE,2,21,97.4
ENCOMPASSHEALTH,ENCOMPASS HEALTH,2,21,96.8
HEWLETT PACKARD ENTERPRISE HPE IT,HEWLETT PACKARD ENTERPRISE HPE,2,21,95.2
COOPER SURGICALS,COOPER SURGICAL,2,21,96.8
MARYLAND DEPARTMENT OFTRANSPORTATION,MARYLAND DEPARTMENT OF TRANSPORTATION,1,21,98.6
BJC HEALTH CARE,BJC HEALTHCARE,1,21,96.6
DEPUY SNYTHES PRODUCTS,DEPUY SYNTHES PRODUCTS,1,21,95.5
HORIZONE BCBS,HORIZON BCBS,1,21,96.0
BROOKHAVEN NATIONAL LABRATORY,BROOKHAVEN NATIONAL LABORATORY,1,21,98.3
PANASONIC AUTOMOTIVE SYSTTEMS OF AMERICA,PANASONIC AUTOMOTIVE SYSTEMS OF AMERICA,1,21,98.7
VA PUGET SOUNDS HEALTH CARE SYSTEM,VA PUGET SOUND HEALTHCARE SYSTEM,1,21,97.0
TEXAS DEPARTMENT OF MOTOR VEHICLE,TEXAS DEPARTMENT OF MOTOR VEHICLES,1,21,98.5
NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES NY ITS,NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES ITS,1,21,97.6
NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES NYS OITS,NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES ITS,1,21,96.0
OHIO DEPARTMENT OF TRANSAPORTATION,OHIO DEPARTMENT OF TRANSPORTATION,1,21,98.5
OHIO DEPARTMENT OF TRANSPORTION,OHIO DEPARTMENT OF TRANSPORTATION,1,21,96.9
CANON SOLUTION AMERICA,CANON SOLUTIONS AMERICA,1,21,97.8
STATE OF MICHIGAN DEPARTMENT OF TECHNOLOGY MANAGEMENT AND BUDGET DTMB,STATE OF MICHIGAN DEPARTMENT OF TECHNOLOGY MANAGEMENT AND BUDGET,4,20,96.2
STATE OF MICHIGAN DTMB DEPARTMENT OF TECHNOLOGY MANAGEMENT AND BUDGET,STATE OF MICHIGAN DEPARTMENT OF TECHNOLOGY MANAGEMENT AND BUDGET,3,20,96.2
BAYERHEALTHCARE,BAYER HEALTHCARE,3,20,96.8
NORTH AMERICAN LIGHTNING,NORTH AMERICAN LIGHTING,3,20,97.9
LORDSTOWN MOTOR,LORDSTOWN MOTORS,2,20,96.8
STATE OF MICHIGAN DEPARTMENT OF TECHNOLOGY MANAGEMENT AND BUDGETING,STATE OF MICHIGAN DEPARTMENT OF TECHNOLOGY MANAGEMENT AND BUDGET,2,20,97.7
ILLINOIS SECRETARY OF STATES,ILLINOIS SECRETARY OF STATE,2,20,98.2
ENBRIDGE EMPLOYEE SERVICES CANADA I,ENBRIDGE EMPLOYEE SERVICES CANADA,2,20,97.1
TMOBILE CORPORATE OFFICE,T MOBILE CORPORATE OFFICE,2,20,98.0
PUBLIX SUPERMARKET,PUBLIX SUPERMARKETS,1,20,97.3
WASHINTON STATE DEPARTMENT OF LABOR AND INDUSTRIES,WASHINGTON STATE DEPARTMENT OF LABOR AND INDUSTRIES,1,20,99.0
VA NORTH TEXAS HEALTH CARE SYSTEMS,VA NORTH TEXAS HEALTH CARE SYSTEM,1,20,98.5
A NORTH TEXAS HEALTH CARE SYSTEM,VA NORTH TEXAS HEALTH CARE SYSTEM,1,20,98.5
TECHNOLOGY NAVIGTORS,TECHNOLOGY NAVIGATORS,1,20,97.6
PIRAMA PHARMA SOLUTIONS,PIRAMAL PHARMA SOLUTIONS,1,20,97.9
MONTANA STATE FUNDS,MONTANA STATE FUND,1,20,97.3
FEDERAL HOME LOAN BANK CHICAGO,FEDERAL HOME LOAN BANK OF CHICAGO,1,20,95.2
BAYER HEALTH CARE,BAYER HEALTHCARE,1,20,97.0
ST MARYS MEDICAL CENTER,ST MARY S MEDICAL CENTER,1,20,97.9
EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICE EEOHHS,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES EOHHS,1,20,98.0
EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES HHS,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES EOHHS,1,20,98.0
EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES EOHHS MA,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES EOHHS,1,20,97.1
PENNSYLVANIA DEPARTMENT OF CORRECTION,PENNSYLVANIA DEPARTMENT OF CORRECTIONS,1,20,98.7
BLUECROSS BLUESHIELD MICHIGAN,BLUE CROSS BLUE SHIELD MICHIGAN,1,20,96.7
MARYLAND DPSCS DEPARTMENT OF PUBLIC SAFETY AND CORRECTIONAL SERVICES,MARYLAND DEPARTMENT OF PUBLIC SAFETY AND CORRECTIONAL SERVICES,1,20,95.4
ADVENTHEALTH FISHT MEMORIAL,ADVENTHEALTH FISH MEMORIAL,1,20,98.1
NORTH AMERICA LIGHTING,NORTH AMERICAN LIGHTING,1,20,97.8
NORTH AMERICAN LIGHTENING,NORTH AMERICAN LIGHTING,1,20,95.8
NORTH AMREICAN LIGHTING,NORTH AMERICAN LIGHTING,1,20,95.7
RBC CAPITAL MARKET,RBC CAPITAL MARKETS,1,20,97.3
UNIVERSITY OF CALIFORNIA AGRICULTURE AND NATURAL RESOURCES,UNIVERSITY OF CALIFORNIA AGRICULTURE AND NATURAL RESOURCES ANR,1,20,96.7
WEIL CORNELL MEDICAL CENTER,WEILL CORNELL MEDICAL CENTER,1,20,98.2
USAA THE UNITED SERVICES AUTOMBILE ASSOCIATION,USAA THE UNITED SERVICES AUTOMOBILE ASSOCIATION,1,20,98.9
NEW YORK OFFICE OF INFORMATION TECHNOLOGY SERVICES NYS ITS,NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES NYS ITS,1,20,95.1
NY STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES NYS ITS,NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES NYS ITS,1,20,95.1
ADVENTHEATH PALM COAST PARKWAY,ADVENTHEALTH PALM COAST PARKWAY,1,20,98.4
